title,company_type,company_size,skills,additional,views_count,english_level
Програміст 1C,"Сільське господарство, агробізнес;",більше 1000 співробітників,", Користувач 1С, 1С:Підприємство, JSON, Комунікабельність, 1С УВП, Програмування, Робота з базою даних, Програмування 1С",Повна зайнятість. Досвід роботи від 1 року.,1,
Програміст (BAS ERP),"Оптова торгівля, дистрибуція, імпорт, експорт;",більше 1000 співробітників,", Висока працездатність, Продуктивність",Повна зайнятість. Досвід роботи від 1 року. Вища освіта.,1,
Технік-програміст,"Лісова промисловість, лісообробка;",250–1000 співробітників,", AutoCAD, КОМПАС, Читання креслень",Повна зайнятість. Досвід роботи від 2 років.,1,
Програміст 1C,"Консалтинг, бухгалтерія, аудит;",менше 10 співробітників,,Повна зайнятість. Досвід роботи від 5 років.,1,
Програміст 1C,"Транспорт, логістика;",10–50 співробітників,", Користувач 1С, Програмування, Програмування 1С",Повна зайнятість. Досвід роботи від 2 років. Середня спеціальна освіта.,1,
Програміст 1С,Роздрібна торгівля;,250–1000 співробітників,", SQL, Користувач 1С, MS SQL Server, Програмування, Робота з базою даних, Програмування 1С, Надійність, Налаштування СКД",Повна зайнятість. Досвід роботи від 2 років. Незакінчена вища освіта.,1,
Middle Back-end developer,IT;,10–50 співробітників,", Користувач ОС Linux, PHP, MySQL, Git, Організованість, Laravel, Docker, Redis, Програмування, Symfony, Проактивність",Повна зайнятість. Досвід роботи від 2 років.,1,
Інженер-програміст баз даних (SQL),Харчова промисловість;,більше 1000 співробітників,", MS Excel, SQL, Користувач 1С, C#, VBA, Програмування, MS SQL Server, MS Access, SSAS",Повна зайнятість. Досвід роботи від 1 року. Вища освіта.,1,
Програміст 1C,"Пошук персоналу, HR;",менше 10 співробітників,", Користувач 1С, XML, Користувач ERP-системи, Користувач BAS, Програмування, Висока працездатність, Програмування BAS, Налаштування СКД","Повна зайнятість. Також готові взяти людину з інвалідністю, ветерана. Досвід роботи від 2 років.",1,
Strong Junior Java Full Stack Developer,"Фінанси, банки, страхування;",250–1000 співробітників,", Java, SQL, Користувач ОС Windows, Git, Python, PostgreSQL, Комунікабельність, Відповідальність, Знання принципів ООП, Apache Tomcat, Apache Maven, Hibernate, Spring Boot, Пунктуальність, JavaFX, Уважність, Jenkins, JPA, Java Message Service, Hudson, Самостійність, Бажання вчитися і розвиватися, CI/CD",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,Англійська — середній
PHP Fullstack Developer (PrestaShop),IT;,10–50 співробітників,", CSS, JavaScript, HTML, PHP, MySQL, Відповідальність","Повна зайнятість, неповна зайнятість. Також готові взяти студента. Досвід роботи від 1 року.",1,"Англійська — середній, українська — вільно"
Програміст 1C у Київ,"Сільське господарство, агробізнес;",250–1000 співробітників,", Користувач 1С, Ведення бухгалтерського обліку, Користувач BAS, Цілеспрямованість, Програмування, Програмування 1С, Надійність",Повна зайнятість. Досвід роботи від 5 років.,1,
Програміст 1С,"Оптова торгівля, дистрибуція, імпорт, експорт;",250–1000 співробітників,", Користувач 1С, Ведення бухгалтерського обліку, Користувач ERP-системи, Користувач BAS, Програмування, Програмування 1С",Повна зайнятість. Досвід роботи від 1 року.,1,
Senior Front-End Developer,,,", Bootstrap, Angular, Angular Material, Frontend-розробка, Swagger, Tailwind CSS, StompJs, Google Maps",Повна зайнятість. Досвід роботи від 5 років. Вища освіта.,1,
C++/Qt Widgets developer,IT;,50–250 співробітників,", MySQL, SQL, C++, Qt, GUI",Повна зайнятість. Досвід роботи від 5 років.,1,
"Senior Full-Stack Developer (Laravel, JS)",IT;,10–50 співробітників,", CSS, Користувач ОС Linux, HTML, PHP, MySQL, Git, Content Management System, Laravel, Docker, Верстка, Frontend-розробка, Розробка API",Повна зайнятість. Досвід роботи від 2 років.,1,
"Full stack програміст, Technical Product Manager",Роздрібна торгівля;,10–50 співробітників,", Управління проєктами, ТЗ, розробка, mage, odo","Повна зайнятість, неповна зайнятість. Досвід роботи від 2 років. Вища освіта.",1,
Strong Junior Database Developer,"Фінанси, банки, страхування;",250–1000 співробітників,", Java, SQL, Користувач ОС Windows, Python, PostgreSQL, XML, Комунікабельність, Відповідальність, Пунктуальність, Уважність, Самостійність, Бажання вчитися і розвиватися",Повна зайнятість. Досвід роботи від 1 року. Вища освіта.,1,Англійська — середній
SQL developer,"Фінанси, банки, страхування;",50–250 співробітників,", SQL, MS SQL Server, Oracle SQL Developer",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,Українська — вільно
Front-end React developer (Middle),IT;,50–250 співробітників,", CSS, Figma, HTML, Git, Gulp, React, JSON, Комунікабельність, webpack, Node.js, REST API, Верстка, Адаптивна верстка, Express.js, Frontend-розробка, Vite.js, Оптимізація коду",Повна зайнятість. Досвід роботи від 2 років.,1,
"Str. Junior Full-Stack Developer (JS, С#)",IT;,50–250 співробітників,", CSS, HTML, SQL, JavaScript, C#, jQuery, MS SQL Server, Vue.js, REST API, REST, Програмування, GraphQL, Розробка API",Повна зайнятість. Досвід роботи від 1 року. Вища освіта.,1,
Програміст бази даних,Харчова промисловість;,50–250 співробітників,", MS Excel, SQL, VBA, Програмування, Доброзичливість",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
"Strong Middle Full Stack Developer (Laravel, Vue.js)",IT;,менше 10 співробітників,", PHP, SQL, JavaScript, Trello, Організованість, Laravel, Vue.js, REST API, NoSQL, Бажання вчитися і розвиватися",Повна зайнятість. Досвід роботи від 2 років.,1,
Програміст 1С,Роздрібна торгівля;,10–50 співробітників,", Користувач 1С, Користувач BAS, Програмування, Програмування 1С",Повна зайнятість. Досвід роботи від 2 років.,1,
Rust Developer (Blockchain),IT;,10–50 співробітників,,Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
"Спеціаліст підтримки, Support Software Engineer (L2)",IT;,50–250 співробітників,", Ведення CRM, Здатність до навчання, Програмування, Грамотна усна та письмова мова, Друга лінія підтримки",Повна зайнятість. Досвід роботи від 1 року.,1,
Програміст 1C/BAS,"Медицина, охорона здоров'я, аптеки;",50–250 співробітників,", Користувач 1С, Ведення бухгалтерського обліку, Відповідальність, Користувач ERP-системи, Користувач BAS, Програмування, Програмування BAS",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
Програміст 1C,Роздрібна торгівля;,більше 1000 співробітників,", SQL",Повна зайнятість. Досвід роботи від 1 року.,1,
"Strong Junior, Middle iOS Developer",IT;,менше 10 співробітників,", CSS, HTML, Git, GitHub, Firebase, Xcode, UIKit, Objective-C, UI-дизайн, GCD, Alamofire, iOS-розробка, OneSignal, URLSession, Swift programming language","Повна зайнятість, неповна зайнятість. Також готові взяти студента, людину з інвалідністю, ветерана. Досвід роботи від 1 року.",1,Англійська — середній
Junior WordPress Developer,IT;,10–50 співробітників,", JavaScript, Відповідальність, Здатність до навчання, Самостійність",Повна зайнятість. Досвід роботи від 1 року.,1,Англійська — середній
"PHP developer (trainee, intern)",IT;,10–50 співробітників,", PHP, Bootstrap, jQuery, Laravel, Адміністрування Apache, nginx, Yii, Уважність, LAMP","Повна зайнятість. Також готові взяти студента, людину з інвалідністю.",1,
"Back-end програміст (Node.JS, Middle)",IT;,50–250 співробітників,", MySQL, PostgreSQL, Node.js, MS SQL Server, Sequelize, ORM, Express.js",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
Full Stack Developer,"Неприбуткові, благодійні та громадські організації;",50–250 співробітників,", CSS, HTML, PHP, WordPress, Git, JavaScript, Vue.js, AWS, Бажання вчитися і розвиватися",Повна зайнятість. Також готові взяти ветерана. Досвід роботи від 2 років. Вища освіта.,1,Українська — вільно
Оператор-програміст ЧПК,Гірнича промисловість;,50–250 співробітників,", SolidWorks, Відповідальність, Знання САПР, Розробка креслень, Робота на верстатах ЧПК, CAD/CAM",Повна зайнятість. Досвід роботи від 2 років.,1,
Unity developer,IT;,250–1000 співробітників,,Повна зайнятість. Досвід роботи від 1 року.,3,
Програміст 1C у Івано-Франківськ,Роздрібна торгівля;,менше 10 співробітників,", SQL, Користувач 1С, Програмування, Робота з базою даних, Програмування 1С",Повна зайнятість. Досвід роботи від 2 років.,1,
Програміст Bitrix,Легка промисловість;,50–250 співробітників,", PHP, Комунікабельність, Відповідальність, Бажання вчитися і розвиватися, User Bitrix24, 1С-Битрикс, знання PHP, JavaScript, HTML, CSS, Bitrix API",Повна зайнятість. Досвід роботи від 2 років.,1,
Розробник 1C,Роздрібна торгівля;,більше 1000 співробітників,", Користувач 1С, Користувач ERP-системи, Користувач BAS, Адміністрування 1С, 1С УТП, Налаштування СКД",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
Програміст 1С,"Краса, фітнес, спорт;",250–1000 співробітників,", Програмування, Програмування 1С",Повна зайнятість. Досвід роботи від 2 років.,1,
SQL-розробник,Роздрібна торгівля;,250–1000 співробітників,", SQL, MS SQL Server, Адміністрування СУБД, SSRS, SSIS, Продуктивність",Повна зайнятість. Досвід роботи від 2 років.,1,
"Junior Android, iOS Developer",IT;,10–50 співробітників,", Здатність до навчання",Повна зайнятість. Також готові взяти студента.,1,
Програміст 1C,Роздрібна торгівля;,більше 1000 співробітників,", Користувач 1С, Ведення бухгалтерського обліку, XML, JSON, Цілеспрямованість, Робота з базою даних, Бажання вчитися і розвиватися, CSV",Повна зайнятість. Досвід роботи від 1 року.,1,
Программист 1С,"Медицина, охорона здоров'я, аптеки;",250–1000 співробітників,", Пользователь 1С, Ведение бухгалтерского учета, Пользователь ERP-системы, Пользователь BAS, Программирование, Работа с базой данных","Повна зайнятість, неповна зайнятість. Також готові взяти людину з інвалідністю. Досвід роботи від 1 року. Вища освіта.",1,
Front-end програміст,IT;,10–50 співробітників,", CSS, Java, React, React Router, webpack, TypeScript, Креативність, Frontend-розробка, Адаптивність, Управління командою, Tailwind CSS, Styled-components, React testing library",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,Англійська — просунутий
Програміст Oracle apex (залізничні перевезення),"Транспорт, логістика;",250–1000 співробітників,", HTML, SQL, Користувач ОС Windows, Oracle Database, Oracle SQL Developer, PL/SQL, Програмування, Oracle APEX","Повна зайнятість. Також готові взяти людину з інвалідністю, ветерана, пенсіонера. Досвід роботи від 2 років.",1,
"Програміст (Middle/Senior, PHP)",IT;,10–50 співробітників,,Повна зайнятість. Також готові взяти студента. Досвід роботи від 1 року.,1,
Програміст 1С,Роздрібна торгівля;,більше 1000 співробітників,", MS Excel, MySQL, Користувач 1С, Програмування, Програмування 1С, Налаштування СКД",Повна зайнятість. Досвід роботи від 1 року.,1,
Senior iOS Developer,"Консалтинг, бухгалтерія, аудит;",250–1000 співробітників,", PHP, MySQL, Firebase, MVVM, UIKit, UI-дизайн",Повна зайнятість. Досвід роботи від 2 років.,1,
Програміст 1C,"Транспорт, логістика;",більше 1000 співробітників,", SQL, Користувач 1С, Ведення бухгалтерського обліку, Відповідальність, MS SQL Server, Програмування, Старанність, Ініціативність, Налаштування СКД",Повна зайнятість. Досвід роботи від 2 років.,2,
Інженер-програміст,"Сільське господарство, агробізнес;",більше 1000 співробітників,", MS Word, MS Excel, Користувач ОС Linux, Користувач ПК, C++, MS Visual Studio, AutoCAD, Цілеспрямованість, Програмування",Повна зайнятість. Досвід роботи від 5 років. Вища освіта.,1,
Програміст 1C,"Оптова торгівля, дистрибуція, імпорт, експорт;",50–250 співробітників,", SQL, Користувач 1С, Користувач BAS, Робота з базою даних, Програмування 1С, Програмування BAS",Повна зайнятість. Досвід роботи від 2 років.,1,
"Full Stack developer (Node.JS, React/Vue)",IT;,10–50 співробітників,", JavaScript, React, Node.js, Vue.js",Повна зайнятість. Досвід роботи від 1 року.,1,
Embedded-розробник,IT;,менше 10 співробітників,", Python, Дизайн, Altium Designer, SPI, Знання архітектури ARM, STM32, ESP32","Повна зайнятість. Також готові взяти студента, людину з інвалідністю, ветерана. Досвід роботи від 2 років. Вища освіта.",1,
"Trainee PHP/JS developer (учень, студент)",IT;,менше 10 співробітників,", Програмування, Бажання вчитися і розвиватися, Аналітичне мислення, Наполегливість, Ініціативність",Повна зайнятість. Також готові взяти студента.,1,
C/C++ Embedded developer (STM32),Сили оборони,,", C++, Комунікабельність, Стресостійкість, Програмування",Повна зайнятість. Досвід роботи від 1 року.,1,
Програміст Opencart,"Оптова торгівля, дистрибуція, імпорт, експорт;",50–250 співробітників,", MySQL, OpenCart",Повна зайнятість. Досвід роботи від 1 року.,1,Українська — вільно
Програміст 1C,Роздрібна торгівля;,більше 1000 співробітників,", Користувач 1С, Ведення бухгалтерського обліку, XML, JSON, Цілеспрямованість, Робота з базою даних, Бажання вчитися і розвиватися, CSV",Повна зайнятість. Досвід роботи від 1 року.,1,
Інженер технолог-програміст ЧПК,Машинобудування;,10–50 співробітників,,Повна зайнятість. Досвід роботи від 5 років.,1,
Розробник 1C,"Хімічна промисловість, фармацевтика;",250–1000 співробітників,", Користувач 1С, 1С:Підприємство, Комунікабельність, Відповідальність, Програмування, Уміння працювати в режимі багатозадачності, Програмування 1С, Висока працездатність, Розробка API",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
Middle Java Full Stack Developer,"Фінанси, банки, страхування;",250–1000 співробітників,", Java, SQL, Користувач ОС Windows, Git, Python, PostgreSQL, Комунікабельність, Відповідальність, Знання принципів ООП, Apache Tomcat, Apache Maven, Hibernate, Spring Boot, Пунктуальність, JavaFX, Уважність, Jenkins, JPA, Java Message Service, Hudson, Самостійність, Бажання вчитися і розвиватися, CI/CD",Повна зайнятість. Досвід роботи від 1 року. Вища освіта.,1,Англійська — середній
Fullstack developer (Python),IT;,менше 10 співробітників,", CSS, HTML, JavaScript, Python, PostgreSQL, Flask, Celery, FastAPI","Повна зайнятість. Також готові взяти людину з інвалідністю, ветерана. Досвід роботи від 2 років.",2,
Програміст 1C,Роздрібна торгівля;,більше 1000 співробітників,", Користувач 1С, Ведення бухгалтерського обліку, XML, JSON, Цілеспрямованість, Робота з базою даних, Бажання вчитися і розвиватися, CSV",Повна зайнятість. Досвід роботи від 1 року.,1,
Програміст 1C,Роздрібна торгівля;,більше 1000 співробітників,", Користувач 1С, 1С:Підприємство, Програмування, Програмування 1С",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
"Technical co-founder, Tech lead, Developer for a startup",IT;,менше 10 співробітників,,"Повна зайнятість, неповна зайнятість. Досвід роботи від 5 років.",1,
"Fullstack Python, React Developer",IT;,10–50 співробітників,", CSS, Користувач ОС Linux, JavaScript, Python, PostgreSQL, React, Agile, Відповідальність, MongoDB, Docker, Docker Compose, TypeScript, Django, Flask, AWS, ORM, FastAPI, SOLID Principles, CI/CD",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
"Головний фахівець, програміст BAF (1С)","Оптова торгівля, дистрибуція, імпорт, експорт;",більше 1000 співробітників,", Користувач 1С, Програмування, Програмування 1С, BAF",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
Front-end програміст,IT;,10–50 співробітників,", JavaScript, React, React Native, React Redux, Redux, Redux Toolkit, TypeScript, Firebase, Frontend-розробка, Next.js",Повна зайнятість. Також готові взяти студента. Досвід роботи від 1 року.,3,Англійська — середній
Middle PHP developer,Державні організації;,50–250 співробітників,", Користувач ОС Linux, PHP, MySQL, Git, Bootstrap, Joomla!, Відповідальність, jQuery, Content Management System, Laravel, Docker, Знання принципів MVC, UNIX, Redis, RabbitMQ, Memcached, KISS, SOLID Principles","Повна зайнятість. Також готові взяти людину з інвалідністю, ветерана. Досвід роботи від 2 років.",1,"Українська — вільно, англійська — вище середнього"
"Project-manager, Product owner, технолог-розробник (відділ розробки нових продуктів косметики)",Легка промисловість;,10–50 співробітників,", Управління проєктами, Аналіз продажу, Продаж, Управлінські навички, Уміння працювати в режимі багатозадачності, Урегулювання конфліктів, Пошук нових клієнтів",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
ERP-розробник,Роздрібна торгівля;,більше 1000 співробітників,,Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
Програміст-десинатор в’язального обладнання у Київ,"Оптова торгівля, дистрибуція, імпорт, експорт;",250–1000 співробітників,", Комунікабельність, Відповідальність, Уважність, Старанність",Повна зайнятість. Досвід роботи від 2 років.,1,
Full stack розробник,IT;,менше 10 співробітників,", JavaScript, Відповідальність, MongoDB, Node.js, TypeScript, Vue.js, Ініціативність, Nuxt.js, Next.js","Повна зайнятість, неповна зайнятість. Досвід роботи від 1 року.",2,Англійська — середній
"Senior Backend Developer (PHP, with FinTech)",IT;,10–50 співробітників,", JavaScript, PHP, Відповідальність, SOLID Principles","Повна зайнятість. Також готові взяти людину з інвалідністю, ветерана. Досвід роботи від 5 років.",1,Англійська — середній
Frontend developer (WordPress),"Фінанси, банки, страхування;",50–250 співробітників,", CSS, Figma, HTML, WordPress, Git, JavaScript, Jira, React, React Hooks, React Redux, Scrum, Комунікабельність, Redux, Redux-Thunk, TypeScript, Робота в команді, Дизайн, UI-дизайн, React Hook Form",Повна зайнятість. Досвід роботи від 1 року. Вища освіта.,1,
"Senior Front-end developer (Vue.js, Angular.js, Healthcare)","Пошук персоналу, HR;",менше 10 співробітників,", JavaScript, HTML, CSS, SASS, LESS, webpack, Vue.js, ECMAScript, Angular, AngularJS, Frontend-розробка",Повна зайнятість. Досвід роботи від 5 років. Вища освіта.,1,
Wordpress Developer (WooCommerce),IT;,10–50 співробітників,", CSS, HTML, PHP, WordPress, JavaScript, WooCommerce",Неповна зайнятість. Також готові взяти людину з інвалідністю. Досвід роботи від 2 років.,1,Англійська — середній
Розробник вебсайтів (WordPress),"Маркетинг, реклама, PR;",10–50 співробітників,", WordPress, SEO, Відповідальність, Робота в команді, Дизайн, Уважність, Креативність, Комунікабельність",Неповна зайнятість. Досвід роботи від 1 року.,1,
Full stack Wordpress Developer,"Маркетинг, реклама, PR;",10–50 співробітників,", CSS, JavaScript, PHP, MySQL, WordPress, Git, jQuery, Content Management System, REST API, REST, WooCommerce",Повна зайнятість. Досвід роботи від 5 років.,1,
Middle Full-stack розробник з ухилом на Front-end,IT;,10–50 співробітників,", CSS, PHP, GitHub, JavaScript, Docker, Yii, Продуктивність, Ansible, Progressive Web App, Zend Framework, Symphony 3.4, Yii 1, tpl, Java Script","Повна зайнятість. Також готові взяти людину з інвалідністю, ветерана. Досвід роботи від 1 року.",1,
Програміст 1C (BAF),Роздрібна торгівля;,250–1000 співробітників,", Користувач ОС Windows, Користувач 1С, Пунктуальність, Програмування, Програмування 1С, Бажання вчитися і розвиватися",Повна зайнятість. Досвід роботи від 1 року.,1,
Middle PHP developer,"Неприбуткові, благодійні та громадські організації;",10–50 співробітників,", CSS, JavaScript, HTML, PHP, MySQL, WordPress, OpenCart, Laravel, Yii, Програмування, Symfony, Продуктивність",Повна зайнятість. Досвід роботи від 2 років.,1,
Інженер-програміст,Машинобудування;,більше 1000 співробітників,", Програмування",Повна зайнятість. Також готові взяти ветерана. Досвід роботи від 1 року. Вища освіта.,1,
Технолог-розробник у відділ R&D,Харчова промисловість;,50–250 співробітників,", Активність, Креативність, Орієнтація на результат",Повна зайнятість. Досвід роботи від 1 року. Вища освіта.,1,
Розробник Unity та WebGL,IT;,10–50 співробітників,", Продуктивність",Повна зайнятість. Досвід роботи від 2 років. Незакінчена вища освіта.,1,
Програміст 1C,IT;,250–1000 співробітників,", SQL, Користувач 1С, 1С:Підприємство, Організованість, Стресостійкість, MS SQL Server, Користувач BAS, Програмування, Програмування 1С, Висока працездатність",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,Англійська — середній
Програміст 1C,"Оптова торгівля, дистрибуція, імпорт, експорт;",50–250 співробітників,,Повна зайнятість. Досвід роботи від 2 років.,1,
Програміст 1С,"Сільське господарство, агробізнес;",50–250 співробітників,", Пользователь 1С, Программирование, Администрирование 1С, Программирование 1С",Повна зайнятість. Досвід роботи від 2 років.,1,
React Developer,IT;,менше 10 співробітників,", Відповідальність",Повна зайнятість. Також готові взяти студента. Досвід роботи від 1 року.,1,
Програміст 1C,"Хімічна промисловість, фармацевтика;",250–1000 співробітників,", Java, Користувач 1С, 1С:Підприємство, Ведення бухгалтерського обліку, XML, JSON, 1С УВП, 1С ЗУП, Програмування, Програмування 1С",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
Програміст BAS (1С:Підприємство),IT;,10–50 співробітників,", Користувач 1С, 1С:Підприємство, Ведення бухгалтерського обліку, Користувач ERP-системи, Користувач BAS, Програмування, Програмування 1С, Знання бухгалтерських програм, Робота з базою даних",Повна зайнятість. Досвід роботи від 2 років.,1,
Розробник 1С (BAS),"Освіта, наука;",250–1000 співробітників,", Користувач 1С, JSON, Користувач BAS",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,2,
"Технолог-розробник (косметика), хімік","Хімічна промисловість, фармацевтика;",10–50 співробітників,", Контроль якості продукції, Розробка нових видів продукції",Повна зайнятість. Досвід роботи від 2 років.,1,
Trainee Java Developer,IT;,10–50 співробітників,", Java, Здатність до навчання, Бажання вчитися і розвиватися",Повна зайнятість.,3,
Unreal Engine Game Developer,IT;,250–1000 співробітників,", Git, C++, Unreal Engine, Комунікабельність, Відповідальність, Робота в команді, Дизайн, Художні здібності, Version Control System, Урегулювання конфліктів, Ігровий дизайн, Дизайн рівнів",Повна зайнятість. Досвід роботи від 1 року.,1,
Програміст BAF/1С,"Фінанси, банки, страхування;",50–250 співробітників,", Користувач 1С, Програмування, Уважність, Програмування 1С",Повна зайнятість. Досвід роботи від 5 років.,1,
"Junior, Middle Full Stack JavaScript Developer (Trainee)",IT;,50–250 співробітників,", CSS, JavaScript, HTML, MySQL, Git, PostgreSQL, React, MongoDB, Node.js, TypeScript, REST API, REST, Redis, Frontend-розробка, Next.js, SOLID Principles, NestJS",Повна зайнятість. Досвід роботи від 1 року.,1,
Senior Full Stack Developer (CRM),"Маркетинг, реклама, PR;",10–50 співробітників,", CSS, Користувач ОС Linux, HTML, PHP, MySQL, SQL, Git, GitHub, JavaScript, React, webpack, Node.js, nginx, Vue.js, npm, Redis, Frontend-розробка, WebSocket, Vite.js","Повна зайнятість, неповна зайнятість. Досвід роботи від 5 років.",1,
Програміст 1C,Роздрібна торгівля;,більше 1000 співробітників,", SQL, Користувач 1С, Програмування, Робота з базою даних, Програмування 1С",Повна зайнятість. Досвід роботи від 1 року.,1,
Java-розробник (Middle),IT;,50–250 співробітників,", Java, Git, GitHub, Комунікабельність, MongoDB, Docker, Spring Boot, REST API, Redis, Робота з базою даних, Groovy",Повна зайнятість. Також готові взяти людину з інвалідністю. Досвід роботи від 2 років.,1,
.Net and Blazor Developer,IT;,10–50 співробітників,", Communicability, ASP.NET Core, Blazor","Повна зайнятість. Також готові взяти студента, ветерана. Досвід роботи від 1 року.",1,
Програміст 1C,"Оптова торгівля, дистрибуція, імпорт, експорт;",250–1000 співробітників,", Програмування 1С",Повна зайнятість. Досвід роботи від 1 року.,1,
MS SQL Developer,Роздрібна торгівля;,більше 1000 співробітників,", SQL, MS SQL Server, Oracle SQL Developer, SSRS",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
Junior PHP Developer,IT;,250–1000 співробітників,", CSS, HTML, PHP, MySQL, Git, JavaScript, Відповідальність, Знання принципів ООП, Laravel, Redis, Уважність, Самостійність, SOLID Principles, Бажання вчитися і розвиватися",Повна зайнятість. Досвід роботи від 1 року.,1,
Програміст PHP,"Маркетинг, реклама, PR;",10–50 співробітників,", CSS, HTML, PHP, MySQL, JavaScript, jQuery, Laravel, Vue.js, REST API, REST, Розробка API",Повна зайнятість. Досвід роботи від 5 років.,1,
Програміст верстатів з ЧПК,Машинобудування;,50–250 співробітників,", SolidCAM, Уважність, NX",Повна зайнятість. Також готові взяти ветерана. Досвід роботи від 2 років. Вища освіта.,1,
Програміст 1C,"Оптова торгівля, дистрибуція, імпорт, експорт;",50–250 співробітників,", Користувач 1С, 1С:Підприємство, Програмування, Бажання вчитися і розвиватися",Повна зайнятість. Досвід роботи від 2 років.,1,
Інженер-програміст верстатів ЧПК,"Пошук персоналу, HR;",менше 10 співробітників,", Програмування",Повна зайнятість. Досвід роботи від 2 років.,1,
Magento Developer,Роздрібна торгівля;,більше 1000 співробітників,", CSS, Користувач ОС Linux, HTML, PHP, MySQL, Git, JavaScript, Знання принципів ООП, Magento",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
Програміст 1C/BAS,IT;,50–250 співробітників,", Користувач 1С, Ведення бухгалтерського обліку, Комунікабельність, Стресостійкість, Користувач ERP-системи, 1С УВП, Програмування, Конвертація даних, Налаштування СКД",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
"Інженер-електронік, розробник",Машинобудування;,більше 1000 співробітників,", C++, Програмування, Програмування мікроконтролерів, Розробка друкованих плат",Повна зайнятість. Досвід роботи від 1 року. Вища освіта.,1,Англійська — середній
Front End Developer (Vue.js),IT;,10–50 співробітників,", CSS, HTML, Git, JavaScript, Vue.js, Vuex, REST API, REST, Axios, Vue Router, Рефакторинг, Vite.js, Vue 3, Vitest",Повна зайнятість. Досвід роботи від 2 років.,1,Англійська — початковий
Middle+ Android Developer,"Консалтинг, бухгалтерія, аудит;",250–1000 співробітників,", Java, Git, Android Studio, Firebase, Kotlin, MVVM, Fragments, SOLID Principles, Jetpack Compose",Повна зайнятість. Досвід роботи від 2 років.,1,
SQL-програміст,"Фінанси, банки, страхування;",50–250 співробітників,", SQL, MS SQL Server, Програмування, Уважність, Чесність",Повна зайнятість. Досвід роботи від 2 років.,1,
Trainee Full Stack JS Developer,IT;,50–250 співробітників,", HTML, CSS, PostrgreSQL, Linux",Повна зайнятість. Також готові взяти студента.,1,Англійська — вище середнього
"Фахівець з автоматизації, Corezoid-розробник (Middle)",Роздрібна торгівля;,більше 1000 співробітників,,Повна зайнятість. Досвід роботи від 2 років.,1,
Програміст 1C,Роздрібна торгівля;,50–250 співробітників,", Користувач 1С, Комунікабельність, Програмування, Уважність, Програмування 1С",Повна зайнятість. Досвід роботи від 2 років.,1,
Програміст-розробник 1С,Харчова промисловість;,більше 1000 співробітників,", M.E.Doc, Користувач 1С, 1С:Підприємство, Користувач ERP-системи, 1С ЗУП, Користувач BAS, Програмування, Програмування 1С",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
Front-end веб-разработчик,"Маркетинг, реклама, PR;",10–50 співробітників,", JavaScript, Git, React, JSON, webpack, Redux, HTTP, npm, REST API, ECMAScript, Design, UI design, UX Design, DOM, Babel, WebSocket, CI/CD, JSON Web Token",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,Англійська — початковий
Інженер-розробник радіоелектронних пристроїв,Готельно-ресторанний бізнес;,менше 10 співробітників,", пайка, Ремонт електроніки, Робота з електронною лінійкою, Уміння аналізувати, Ініціативність","Повна зайнятість. Також готові взяти людину з інвалідністю, ветерана. Досвід роботи від 2 років. Вища освіта.",1,
Middle Java Developer,IT;,50–250 співробітників,", Git, Docker, Робота в команді, Spring Framework, REST API, RESTful Web Services, Redis",Повна зайнятість. Досвід роботи від 2 років.,1,
"Senior Angular Software Engineer (mapping, GIS and 3D web solutions)",IT;,10–50 співробітників,", Angular, cesium.js, openlayers, gis, three.js","Повна зайнятість, неповна зайнятість. Також готові взяти людину з інвалідністю, ветерана. Досвід роботи від 2 років. Вища освіта.",1,Англійська — просунутий
SQL-розробник,"Телекомунікації, зв'язок;",більше 1000 співробітників,", MS PowerPoint, MS Excel, SQL, Python, Цілеспрямованість",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,Англійська — середній
Senior BigCommerce App developer,IT;,10–50 співробітників,", Комунікабельність, Відповідальність, BigCommerce",Неповна зайнятість. Досвід роботи від 5 років.,1,Англійська — просунутий
